一以貫之	吾道一以貫之
一個鼻孔	一個鼻孔出氣
一氧化碳	一氧化碳中毒
一池春水	吹皺一池春水
一發不可	一發不可收拾
一點也不	一點也不為過
七零年代	一九七零年代
三句不離	三句不離本行
三寸不爛	三寸不爛之舌
三零年代	一九三零年代
上呼吸道	上呼吸道感染
不作第二	不作第二人想
不共戴天	不共戴天之仇
不分青紅	不分青紅皂白
不受歡迎	不受歡迎人物
不可同日	不可同日而語
不可收拾	一發不可收拾
不可終日	惶惶不可終日
不可開交	忙得不可開交
不堪設想	後果不堪設想
不得其解	百思不得其解
不按牌理	不按牌理出牌
不敗之地	立於不敗之地
不時之需	以備不時之需
不求甚解	讀書不求甚解
不相往來	老死不相往來
不知去向	躲得不知去向
不計其數	死傷不計其數
不識泰山	有眼不識泰山
不讓鬚眉	巾幗不讓鬚眉
不遠千里	不遠千里而來
世界大戰	二次世界大戰
世界紀錄	金氏世界紀錄
世界貿易	世界貿易中心
世界貿易	世界貿易大樓
世界貿易	世界貿易組織
中國文化	中國文化大學
中國石油	中國石油公司
中國醫藥	中國醫藥學院
中國電視	中國電視公司
中央大學	國立中央大學
中小企業	中小企業銀行
中小學校	國民中小學校
中文大學	香港中文大學
中樞神經	中樞神經系統
中正機場	桃園中正機場
中興大學	國立中興大學
中華民國	中華民國憲法
中華經濟	大中華經濟圈
中華職棒	中華職棒聯盟
九年一貫	九年一貫課程
九牛二虎	九牛二虎之力
九零年代	一九九零年代
二屆國代	二屆國代選舉
互不侵犯	互不侵犯條約
五里霧中	如墜五里霧中
五里霧中	如墮五里霧中
五零年代	一九五零年代
亞東關係	亞東關係協會
亞特蘭大	亞特蘭大勇士
亞特蘭大	亞特蘭大日報
亞特蘭大	亞特蘭大老鷹
交通安全	交通安全教育
人權宣言	世界人權宣言
人為萬物	人為萬物之靈
人算不如	人算不如天算
人間煙火	不食人間煙火
代表大會	人民代表大會
代表大會	全國代表大會
企業管理	企業管理學系
伊底帕斯	伊底帕斯情結
伸手不見	伸手不見五指
何年何月	何年何月何日
何月何日	何年何月何日
佛羅里達	佛羅里達馬林
使出渾身	使出渾身解數
便利商店	全家便利商店
信託公司	投資信託公司
值得一提	值得一提的是
健康檢查	婚前健康檢查
健康檢查	定期健康檢查
傳播媒介	大眾傳播媒介
傳播媒體	大眾傳播媒體
傳統藝術	傳統藝術中心
先進國家	歐美先進國家
光天化日	光天化日之下
克萊斯勒	克萊斯勒汽車
克里夫蘭	克里夫蘭騎士
克里米亞	克里米亞半島
克里米亞	克里米亞戰爭
兒童福利	兒童福利聯盟
兩性平等	兩性平等教育
兩把刷子	真有兩把刷子
八零年代	一九八零年代
公共設施	公共設施用地
六零年代	一九六零年代
共同市場	歐洲共同市場
兵家必爭	兵家必爭之地
凱達格蘭	凱達格蘭大道
出乎意料	出乎意料之外
分子生物	分子生物技術
利弊得失	權衡利弊得失
前因後果	不問前因後果
副總經理	執行副總經理
加勒比海	加勒比海群島
動員戡亂	動員戡亂時期
化學工業	石油化學工業
化學纖維	合成化學纖維
北大西洋	北大西洋公約
十二指腸	十二指腸潰瘍
千辛萬苦	費盡千辛萬苦
印地安納	印地安納溜馬
危急存亡	危急存亡之秋
受用不盡	一生受用不盡
可取之處	毫無可取之處
可口可樂	健怡可口可樂
台灣師範	台灣師範大學
台灣糖業	台灣糖業公司
台灣肥料	台灣肥料公司
台灣航業	台灣航業公司
台灣電力	台灣電力公司
台灣電視	台灣電視公司
同年同月	同年同月同日
同日而語	不可同日而語
同月同日	同年同月同日
吹灰之力	不費吹灰之力
哥倫比亞	哥倫比亞大學
哥倫比亞	英屬哥倫比亞
唯恐天下	唯恐天下不亂
商業銀行	國際商業銀行
喜馬拉雅	喜馬拉雅山區
喜馬拉雅	喜馬拉雅山麓
嘔心瀝血	嘔心瀝血之作
國代選舉	二屆國代選舉
國內生產	國內生產毛額
國家公園	墾丁國家公園
國家公園	玉山國家公園
國家公園	金門國家公園
國家公園	雪霸國家公園
國家安全	國家安全會議
國家安全	國家安全顧問
國家社會	國家社會主義
國民大會	國民大會代表
國民小學	附屬國民小學
國民平均	國民平均所得
國民所得	平均國民所得
國民生產	國民生產毛額
國民生產	國民生產淨額
國立中央	國立中央大學
國防管理	國防管理學院
國際文教	國際文教組織
國際標準	國際標準組織
國際機場	中正國際機場
國際機場	桃園國際機場
國際特赦	國際特赦組織
圖書館學	比較圖書館學
土地所有	土地所有權狀
土木工程	土木工程學系
在台協會	美國在台協會
在此一舉	成敗在此一舉
地方法院	臺北地方法院
基因轉殖	基因轉殖生物
堪薩斯市	堪薩斯市皇家
外交關係	中美外交關係
大專學生	大專學生集訓
大眾傳播	大眾傳播媒介
大眾傳播	大眾傳播媒體
大眾捷運	大眾捷運系統
大眾運輸	大眾運輸系統
大都會隊	紐約大都會隊
大陸板塊	歐亞大陸板塊
天外飛來	天外飛來一筆
天時地利	天時地利人和
天無絕人	天無絕人之路
天花亂墜	吹得天花亂墜
天馬行空	天馬行空之事
天高地厚	不知天高地厚
太歲頭上	太歲頭上動土
如入無人	如入無人之境
如簧之舌	鼓起如簧之舌
存亡之秋	危急存亡之秋
學術網路	臺灣學術網路
守恆定律	能量守恆定律
定序分析	基因定序分析
家庭教育	家庭教育中心
密爾瓦基	密爾瓦基公鹿
實驗高級	實驗高級中學
專科學校	新聞專科學校
導航系統	衛星導航系統
小兒麻痺	小兒麻痺疫苗
工作人員	敵後工作人員
工業園區	科學工業園區
工業學校	台北工業學校
工程學系	土木工程學系
希臘神話	希臘神話故事
師範大學	台灣師範大學
師範大學	彰化師範大學
師範大學	臺灣師範大學
師範大學	高雄師範大學
師範學院	臺北師範學院
師範學院	花蓮師範學院
平均地權	平均地權條例
廣播公司	中國廣播公司
廣播公司	國家廣播公司
廣播公司	美國廣播公司
廣播公司	英國廣播公司
廣播電台	復興廣播電台
廣播電台	警察廣播電台
廣播電視	廣播電視學系
建築材料	建築材料工業
引人注意	格外引人注意
引力定律	萬有引力定律
復興廣播	復興廣播電台
心曠神怡	令人心曠神怡
心有餘力	心有餘力不足
心肌梗塞	急性心肌梗塞
必爭之地	兵家必爭之地
忠孝不能	忠孝不能兩全
性別平等	性別平等教育
恭敬不如	恭敬不如從命
悲歡離合	人有悲歡離合
惟恐天下	惟恐天下不亂
意料之外	出乎意料之外
意料之外	大出意料之外
憂心忡忡	感到憂心忡忡
戡亂時期	動員戡亂時期
所有權狀	土地所有權狀
所見略同	英雄所見略同
捷運系統	大眾捷運系統
授受不親	男女授受不親
掉以輕心	不敢掉以輕心
排山倒海	排山倒海之勢
排版系統	桌上排版系統
放款利率	基本放款利率
放諸四海	放諸四海皆準
政治作戰	政治作戰學校
政治作戰	總政治作戰部
教育大學	新竹教育大學
文化中心	中正文化中心
文化中心	基隆文化中心
文化交流	中日文化交流
文化大學	中國文化大學
文藝復興	文藝復興時代
新光三越	新光三越百貨
方便之門	大開方便之門
旦夕禍福	人有旦夕禍福
明尼蘇達	明尼蘇達大學
明尼蘇達	明尼蘇達灰狼
明尼蘇達	明尼蘇達雙城
是非曲直	不問是非曲直
暈頭轉向	忙得暈頭轉向
有眼不識	有眼不識泰山
有線電視	有線電視系統
有限公司	股份有限公司
某年某月	某年某月某日
某月某日	某年某月某日
核子動力	核子動力潛艇
核糖核酸	去氧核糖核酸
核醣核酸	去氧核醣核酸
格林威治	格林威治時間
桌上排版	桌上排版系統
標準時間	中原標準時間
機會均等	教育機會均等
橫貫公路	中部橫貫公路
橫貫公路	北部橫貫公路
橫貫公路	南部橫貫公路
橫貫公路	東西橫貫公路
權衡利弊	權衡利弊得失
歐亞大陸	歐亞大陸板塊
歐美先進	歐美先進國家
死傷不計	死傷不計其數
毫無可取	毫無可取之處
水深火熱	水深火熱之中
沙加緬度	沙加緬度國王
沙門氏菌	沙門氏菌腸炎
活動中心	學生活動中心
渾身解數	使出渾身解數
濱海公路	北部濱海公路
無人之境	如入無人之境
無產階級	無產階級專政
特殊教育	特殊教育學校
理工學院	麻省理工學院
瓜田李下	瓜田李下之嫌
生物技術	分子生物技術
生物醫學	生物醫學統計
甲午戰爭	中日甲午戰爭
男女授受	男女授受不親
男女老幼	不分男女老幼
異曲同工	異曲同工之妙
白色恐怖	白色恐怖時代
百科全書	大英百科全書
眾目睽睽	眾目睽睽之下
知其不可	知其不可而為
石油公司	中國石油公司
石油化學	石油化學工業
石油輸出	石油輸出國家
社會主義	國家社會主義
社會主義	社會主義革命
社會福利	社會福利彩券
社會福利	社會福利政策
社會福利	老人社會福利
社會經濟	社會經濟結構
神經系統	中樞神經系統
神經系統	自主神經系統
科學園區	台南科學園區
科學園區	新竹科學園區
科技大學	中國科技大學
科技大學	大仁科技大學
科技大學	崑山科技大學
科技大學	朝陽科技大學
科技大學	樹德科技大學
科技大學	雲林科技大學
科羅拉多	科羅拉多大學
科羅拉多	科羅拉多洛磯
立於不敗	立於不敗之地
立錐之地	貧無立錐之地
第二句話	沒有第二句話
管弦樂團	愛樂管弦樂團
管理學院	國防管理學院
綜合醫院	國泰綜合醫院
維多利亞	維多利亞女王
維多利亞	維多利亞時代
網際網路	網際網路電話
縛雞之力	手無縛雞之力
缺一不可	兩者缺一不可
羅馬帝國	神聖羅馬帝國
義務教育	國民義務教育
聖地牙哥	聖地牙哥教士
職棒聯盟	中華職棒聯盟
股份有限	股份有限公司
育樂中心	兒童育樂中心
胰蛋白酶	胰蛋白酶基因
自主神經	自主神經系統
自動增益	自動增益控制
自動控制	自動控制系統
自強活動	青年自強活動
自有妙計	山人自有妙計
自由貿易	自由貿易協定
航業公司	台灣航業公司
航空公司	中華航空公司
航空公司	國際航空公司
良禽擇木	良禽擇木而棲
花蓮師範	花蓮師範學院
菲律賓海	菲律賓海板塊
萬有引力	萬有引力定律
萬物之靈	人為萬物之靈
葬身之地	死無葬身之地
衛星導航	衛星導航系統
調虎離山	調虎離山之計
貨物運輸	貨物運輸保險
費城人隊	費城費城人隊
貿易中心	世界貿易中心
貿易協定	自由貿易協定
資本主義	資本主義制度
資本主義	資本主義國家
資本主義	資本主義社會
購物中心	休閒購物中心
軒然大波	引起軒然大波
輕重緩急	不分輕重緩急
辛辛那提	辛辛那提紅人
迅雷不及	迅雷不及掩耳
逆水行舟	學如逆水行舟
通用電氣	通用電氣公司
遊騎兵隊	德州遊騎兵隊
運輸系統	大眾運輸系統
遺傳工程	遺傳工程學家
那斯達克	那斯達克指數
金融中心	亞太金融中心
金融中心	國際金融中心
長庚醫院	林口長庚醫院
阿彌陀佛	南無阿彌陀佛
阿爾卑斯	阿爾卑斯山脈
附屬國民	附屬國民小學
附屬高級	附屬高級中學
難以形容	筆墨難以形容
雷霆萬鈞	雷霆萬鈞之勢
電力公司	台灣電力公司
電力公司	臺灣電力公司
電子郵件	電子郵件信箱
電子郵件	電子郵件地址
電子郵件	電子郵件系統
電視公司	中國電視公司
電視公司	台灣電視公司
青年商會	國際青年商會
青紅皂白	不分青紅皂白
青紅皂白	不問青紅皂白
顧問公司	企管顧問公司
食衣住行	食衣住行育樂
馬可波羅	馬可波羅遊記
馬爾地夫	馬爾地夫群島
高級中學	實驗高級中學
高級中學	附屬高級中學
高速公路	中山高速公路
高速公路	北宜高速公路
高雄師範	高雄師範大學
鴛鴦蝴蝶	新鴛鴦蝴蝶夢
麻省理工	麻省理工學院
