休士頓火箭	休士頓火箭隊
傷口上灑鹽	在傷口上灑鹽
加利福尼亞	加利福尼亞州
匹茲堡海盜	匹茲堡海盜隊
印度尼西亞	印度尼西亞語
吹鬍子瞪眼	吹鬍子瞪眼睛
喜馬拉雅山	喜馬拉雅山區
喜馬拉雅山	喜馬拉雅山麓
國民中小學	國民中小學校
土地所有權	土地所有權狀
坦帕灣光芒	坦帕灣光芒隊
壽山動物園	萬壽山動物園
夏洛特山貓	夏洛特山貓隊
多倫多暴龍	多倫多暴龍隊
多倫多藍鳥	多倫多藍鳥隊
奧克拉荷馬	奧克拉荷馬州
奧克拉荷馬	奧克拉荷馬市
奧蘭多魔術	奧蘭多魔術隊
威斯敏斯特	威斯敏斯特市
底特律活塞	底特律活塞隊
德州遊騎兵	德州遊騎兵隊
拜倒石榴裙	拜倒石榴裙下
曼非斯灰熊	曼非斯灰熊隊
朽木不可雕	朽木不可雕也
波士頓紅襪	波士頓紅襪隊
洛杉磯天使	洛杉磯天使隊
洛杉磯快艇	洛杉磯快艇隊
洛杉磯湖人	洛杉磯湖人隊
洛杉磯道奇	洛杉磯道奇隊
玻里尼西亞	玻里尼西亞人
紐奧良黃蜂	紐奧良黃蜂隊
紐澤西籃網	紐澤西籃網隊
紐約大都會	紐約大都會隊
聖路易紅雀	聖路易紅雀隊
舊金山巨人	舊金山巨人隊
芝加哥公牛	芝加哥公牛隊
芝加哥小熊	芝加哥小熊隊
芝加哥白襪	芝加哥白襪隊
華盛頓國民	華盛頓國民隊
華盛頓巫師	華盛頓巫師隊
西雅圖水手	西雅圖水手隊
費城費城人	費城費城人隊
越雷池一步	不越雷池一步
路易西安那	路易西安那州
達拉斯小牛	達拉斯小牛隊
邁阿密熱火	邁阿密熱火隊
阿爾卑斯山	阿爾卑斯山脈
馬達加斯加	馬達加斯加島
鳳凰城太陽	鳳凰城太陽隊
