ㄝ ㄝ e , big5
誒 ㄝˋ e4 ,4 big5
ㄦ ㄦ er - big5
兒 ㄦ er - big5
爾 ㄦˇ er3 -3 big5
耳 ㄦˇ er3 -3 big5
洱 ㄦˇ er3 -3 big5
餌 ㄦˇ er3 -3 big5
邇 ㄦˇ er3 -3 big5
珥 ㄦˇ er3 -3 big5
駬 ㄦˇ er3 -3 big5
薾 ㄦˇ er3 -3 big5
鉺 ㄦˇ er3 -3 big5
峏 ㄦˇ er3 -3 big5
尒 ㄦˇ er3 -3 big5
栮 ㄦˇ er3 -3 big5
尓 ㄦˇ er3 -3 utf8
尔 ㄦˇ er3 -3 utf8
趰 ㄦˇ er3 -3 utf8
迩 ㄦˇ er3 -3 utf8
𡁠 ㄦˇ er3 -3 utf8
二 ㄦˋ er4 -4 big5
貳 ㄦˋ er4 -4 big5
佴 ㄦˋ er4 -4 big5
刵 ㄦˋ er4 -4 big5
咡 ㄦˋ er4 -4 big5
樲 ㄦˋ er4 -4 big5
聏 ㄦˋ er4 -4 big5
毦 ㄦˋ er4 -4 big5
眲 ㄦˋ er4 -4 big5
衈 ㄦˋ er4 -4 big5
弍 ㄦˋ er4 -4 big5
㒃 ㄦˋ er4 -4 utf8
㛅 ㄦˋ er4 -4 utf8
䙹 ㄦˋ er4 -4 utf8
誀 ㄦˋ er4 -4 utf8
貮 ㄦˋ er4 -4 utf8
𣭞 ㄦˋ er4 -4 utf8
兒 ㄦˊ er2 -6 big5
而 ㄦˊ er2 -6 big5
洏 ㄦˊ er2 -6 big5
耏 ㄦˊ er2 -6 big5
胹 ㄦˊ er2 -6 big5
輀 ㄦˊ er2 -6 big5
侕 ㄦˊ er2 -6 big5
栭 ㄦˊ er2 -6 big5
陑 ㄦˊ er2 -6 big5
鮞 ㄦˊ er2 -6 big5
檽 ㄦˊ er2 -6 big5
聏 ㄦˊ er2 -6 big5
荋 ㄦˊ er2 -6 big5
唲 ㄦˊ er2 -6 big5
鴯 ㄦˊ er2 -6 big5
㖇 ㄦˊ er2 -6 utf8
㧫 ㄦˊ er2 -6 utf8
䋩 ㄦˊ er2 -6 utf8
䎟 ㄦˊ er2 -6 utf8
䦧 ㄦˊ er2 -6 utf8
䮘 ㄦˊ er2 -6 utf8
児 ㄦˊ er2 -6 utf8
杒 ㄦˊ er2 -6 utf8
梕 ㄦˊ er2 -6 utf8
皃 ㄦˊ er2 -6 utf8
腝 ㄦˊ er2 -6 utf8
袻 ㄦˊ er2 -6 utf8
輭 ㄦˊ er2 -6 utf8
轜 ㄦˊ er2 -6 utf8
隭 ㄦˊ er2 -6 utf8
髵 ㄦˊ er2 -6 utf8
歐 ㄡ ou . big5
甌 ㄡ ou . big5
毆 ㄡ ou . big5
嘔 ㄡ ou . big5
謳 ㄡ ou . big5
鷗 ㄡ ou . big5
ㄡ ㄡ ou . big5
慪 ㄡ ou . big5
區 ㄡ ou . big5
熰 ㄡ ou . big5
蓲 ㄡ ou . big5
櫙 ㄡ ou . big5
䥲 ㄡ ou . utf8
剾 ㄡ ou . utf8
区 ㄡ ou . utf8
塸 ㄡ ou . utf8
欧 ㄡ ou . utf8
殴 ㄡ ou . utf8
瓯 ㄡ ou . utf8
瞘 ㄡ ou . utf8
膒 ㄡ ou . utf8
偶 ㄡˇ ou3 .3 big5
藕 ㄡˇ ou3 .3 big5
嘔 ㄡˇ ou3 .3 big5
耦 ㄡˇ ou3 .3 big5
吘 ㄡˇ ou3 .3 big5
湡 ㄡˇ ou3 .3 big5
腢 ㄡˇ ou3 .3 big5
蕅 ㄡˇ ou3 .3 big5
㒖 ㄡˇ ou3 .3 utf8
㸸 ㄡˇ ou3 .3 utf8
塸 ㄡˇ ou3 .3 utf8
媀 ㄡˇ ou3 .3 utf8
欧 ㄡˇ ou3 .3 utf8
𠙶 ㄡˇ ou3 .3 utf8
𠴰 ㄡˇ ou3 .3 utf8
嘔 ㄡˋ ou4 .4 big5
漚 ㄡˋ ou4 .4 big5
噢 ㄡˋ ou4 .4 big5
䌂 ㄡˋ ou4 .4 utf8
𩥋 ㄡˋ ou4 .4 utf8
吽 ㄡˊ ou2 .6 big5
鞥 ㄥ eng / big5
ㄥ ㄥ eng / big5
安 ㄢ an 0 big5
鞍 ㄢ an 0 big5
庵 ㄢ an 0 big5
諳 ㄢ an 0 big5
氨 ㄢ an 0 big5
銨 ㄢ an 0 big5
胺 ㄢ an 0 big5
