# format org.openvanilla.mcbopomofo.sorted
ㄅㄚ 
ㄅㄚˇ 
ㄅㄚˊ 
ㄅㄚˋ 
ㄅㄚ˙ 
ㄅㄛ 
ㄅㄛˇ 
ㄅㄛˊ 
ㄅㄛˋ 
ㄅㄛ˙ 
ㄅㄞ 
ㄅㄞˇ 
ㄅㄞˊ 
ㄅㄞˋ 
ㄅㄞ˙ 
ㄅㄟ 
ㄅㄟˇ 
ㄅㄟˋ 
ㄅㄟ˙ 
ㄅㄠ 
ㄅㄠˇ 
ㄅㄠˊ 
ㄅㄠˋ 
ㄅㄠ˙ 
ㄅㄢ 
ㄅㄢˇ 
ㄅㄢˋ 
ㄅㄣ 
ㄅㄣˇ 
ㄅㄣˋ 
ㄅㄤ 
ㄅㄤˇ 
ㄅㄤˋ 
ㄅㄥ 
ㄅㄥˇ 
ㄅㄥˊ 
ㄅㄥˋ 
ㄅㄧ 
ㄅㄧˇ 
ㄅㄧˊ 
ㄅㄧˋ 
ㄅㄧㄝ 
ㄅㄧㄝˇ 
ㄅㄧㄝˊ 
ㄅㄧㄝˋ 
ㄅㄧㄠ 
ㄅㄧㄠˇ 
ㄅㄧㄠˋ 
ㄅㄧㄢ 
ㄅㄧㄢˇ 
ㄅㄧㄢˋ 
ㄅㄧㄣ 
ㄅㄧㄣˇ 
ㄅㄧㄣˋ 
ㄅㄧㄥ 
ㄅㄧㄥˇ 
ㄅㄧㄥˋ 
ㄅㄨ 
ㄅㄨˇ 
ㄅㄨˊ 
ㄅㄨˋ 
ㄆㄚ 
ㄆㄚˊ 
ㄆㄚˋ 
ㄆㄚ˙ 
ㄆㄛ 
ㄆㄛˇ 
ㄆㄛˊ 
ㄆㄛˋ 
ㄆㄛ˙ 
ㄆㄞ 
ㄆㄞˇ 
ㄆㄞˊ 
ㄆㄞˋ 
ㄆㄟ 
ㄆㄟˇ 
ㄆㄟˊ 
ㄆㄟˋ 
ㄆㄠ 
ㄆㄠˇ 
ㄆㄠˊ 
ㄆㄠˋ 
ㄆㄡ 
ㄆㄡˇ 
ㄆㄡˊ 
ㄆㄢ 
ㄆㄢˇ 
ㄆㄢˊ 
ㄆㄢˋ 
ㄆㄣ 
ㄆㄣˇ 
ㄆㄣˊ 
ㄆㄣˋ 
ㄆㄤ 
ㄆㄤˇ 
ㄆㄤˊ 
ㄆㄤˋ 
ㄆㄥ 
ㄆㄥˇ 
ㄆㄥˊ 
ㄆㄥˋ 
ㄆㄧ 
ㄆㄧˇ 
ㄆㄧˊ 
ㄆㄧˋ 
ㄆㄧㄝ 
ㄆㄧㄝˇ 
ㄆㄧㄝˋ 
ㄆㄧㄠ 
ㄆㄧㄠˇ 
ㄆㄧㄠˊ 
ㄆㄧㄠˋ 
ㄆㄧㄢ 
ㄆㄧㄢˇ 
ㄆㄧㄢˊ 
ㄆㄧㄢˋ 
ㄆㄧㄣ 
ㄆㄧㄣˇ 
ㄆㄧㄣˊ 
ㄆㄧㄣˋ 
ㄆㄧㄥ 
ㄆㄧㄥˊ 
ㄆㄧㄥˋ 
ㄆㄨ 
ㄆㄨˇ 
ㄆㄨˊ 
ㄆㄨˋ 
