# format org.openvanilla.mcbopomofo.sorted
〇-na 〇󠇠
〇-ㄌㄧㄥˊ 〇
一-na 一󠇠
一-ㄧ 一
一-ㄧˊ 一󠇡
一-ㄧˋ 一󠇢
丁-na 丁󠇠
丁-ㄉㄧㄥ 丁
七-na 七󠇠
七-ㄑㄧ 七
万-na 万󠇠
万-ㄇㄛˋ 万
万-ㄨㄢˋ 万󠇡
丈-na 丈󠇠
丈-ㄓㄤˋ 丈
三-na 三󠇠
三-ㄙㄢ 三
上-na 上󠇠
上-ㄕㄤˇ 上󠇡
上-ㄕㄤˋ 上
下-na 下󠇠
下-ㄒㄧㄚˋ 下
丌-na 丌󠇠
丌-ㄐㄧ 丌
不-na 不󠇠
不-ㄅㄨˊ 不󠇡
不-ㄅㄨˋ 不
与-na 与󠇠
与-ㄩˇ 与
丏-na 丏󠇠
丏-ㄇㄧㄢˇ 丏
丐-na 丐󠇠
丐-ㄍㄞˋ 丐
丑-na 丑󠇠
丑-ㄔㄡˇ 丑
且-na 且󠇠
且-ㄑㄧㄝˇ 且
丕-na 丕󠇠
丕-ㄆㄧ 丕
世-na 世󠇠
世-ㄕˋ 世
丘-na 丘󠇠
丘-ㄑㄧㄡ 丘
丙-na 丙󠇠
丙-ㄅㄧㄥˇ 丙
丞-na 丞󠇠
丞-ㄔㄥˊ 丞
丟-na 丟󠇠
丟-ㄉㄧㄡ 丟
並-na 並󠇠
並-ㄅㄧㄥˋ 並
丫-na 丫󠇠
丫-ㄧㄚ 丫
中-na 中󠇠
中-ㄓㄨㄥ 中
中-ㄓㄨㄥˋ 中󠇡
丰-na 丰󠇠
丰-ㄈㄥ 丰
丱-na 丱󠇠
丱-ㄍㄨㄢˋ 丱
串-na 串󠇠
串-ㄔㄨㄢˋ 串
丸-na 丸󠇠
丸-ㄨㄢˊ 丸
丹-na 丹󠇠
丹-ㄉㄢ 丹
主-na 主󠇠
主-ㄓㄨˇ 主
丼-na 丼󠇠
丼-ㄉㄢˇ 丼󠇡
丼-ㄐㄧㄥˇ 丼
乂-na 乂󠇠
乂-ㄞˋ 乂
乂-ㄧˋ 乂󠇡
乃-na 乃󠇠
乃-ㄋㄞˇ 乃
久-na 久󠇠
久-ㄐㄧㄡˇ 久
乇-na 乇󠇠
乇-ㄓㄜˊ 乇
么-na 么󠇠
么-ㄧㄠ 么
之-na 之󠇠
之-ㄓ 之
乍-na 乍󠇠
乍-ㄓㄚˋ 乍
乎-na 乎󠇠
乎-ㄏㄨ 乎
乏-na 乏󠇠
乏-ㄈㄚˊ 乏
乒-na 乒󠇠
乒-ㄆㄧㄥ 乒
乓-na 乓󠇠
乓-ㄆㄤ 乓
乖-na 乖󠇠
乖-ㄍㄨㄞ 乖
乘-na 乘󠇠
乘-ㄔㄥˊ 乘
乘-ㄕㄥˋ 乘󠇡
乙-na 乙󠇠
乙-ㄧˇ 乙
乜-na 乜󠇠
乜-ㄇㄧㄝ 乜
乜-ㄋㄧㄝˋ 乜󠇡
九-na 九󠇠
九-ㄐㄧㄡˇ 九
乞-na 乞󠇠
乞-ㄑㄧˇ 乞
也-na 也󠇠
也-ㄧㄝˇ 也
乩-na 乩󠇠
乩-ㄐㄧ 乩
乳-na 乳󠇠
乳-ㄖㄨˇ 乳
乾-na 乾󠇠
乾-ㄍㄢ 乾
乾-ㄑㄧㄢˊ 乾󠇡
乿-na 乿󠇠
乿-ㄔˋ 乿
亂-na 亂󠇠
亂-ㄌㄨㄢˋ 亂
亃-na 亃󠇠
亃-ㄌㄧㄣˇ 亃
亄-na 亄󠇠
亄-ㄧˋ 亄
了-na 了󠇠
了-ㄌㄜ˙ 了
了-ㄌㄧㄠˇ 了󠇡
予-na 予󠇠
予-ㄩˇ 予
予-ㄩˊ 予󠇡
事-na 事󠇠
事-ㄕˋ 事
二-na 二󠇠
二-ㄦˋ 二
亍-na 亍󠇠
亍-ㄔㄨˋ 亍
于-na 于󠇠
于-ㄩˊ 于
云-na 云󠇠
云-ㄩㄣˊ 云
互-na 互󠇠
互-ㄏㄨˋ 互
亓-na 亓󠇠
亓-ㄑㄧˊ 亓
五-na 五󠇠
五-ㄨˇ 五
井-na 井󠇠
井-ㄐㄧㄥˇ 井
亖-na 亖󠇠
亖-ㄙˋ 亖
亙-na 亙󠇠
亙-ㄍㄣˋ 亙
些-na 些󠇠
些-ㄒㄧㄝ 些
亞-na 亞󠇠
亞-ㄧㄚˋ 亞
亟-na 亟󠇠
亟-ㄐㄧˊ 亟
亟-ㄑㄧˋ 亟󠇡
亡-na 亡󠇠
亡-ㄨㄤˊ 亡
亢-na 亢󠇠
亢-ㄎㄤˋ 亢
交-na 交󠇠
交-ㄐㄧㄠ 交
亥-na 亥󠇠
亥-ㄏㄞˋ 亥
亦-na 亦󠇠
亦-ㄧˋ 亦
亨-na 亨󠇠
亨-ㄏㄥ 亨
享-na 享󠇠
享-ㄒㄧㄤˇ 享
京-na 京󠇠
京-ㄐㄧㄥ 京
亭-na 亭󠇠
亭-ㄊㄧㄥˊ 亭
亮-na 亮󠇠
亮-ㄌㄧㄤˋ 亮
亳-na 亳󠇠
亳-ㄅㄛˋ 亳
亶-na 亶󠇠
亶-ㄉㄢˇ 亶
亹-na 亹󠇠
亹-ㄨㄟˇ 亹
人-na 人󠇠
人-ㄖㄣˊ 人
什-na 什󠇠
什-ㄕˊ 什󠇡
什-ㄕㄣˊ 什
仁-na 仁󠇠
仁-ㄖㄣˊ 仁
仂-na 仂󠇠
仂-ㄌㄜˋ 仂
仃-na 仃󠇠
仃-ㄉㄧㄥ 仃
仄-na 仄󠇠
仄-ㄗㄜˋ 仄
仆-na 仆󠇠
仆-ㄆㄨ 仆
仇-na 仇󠇠
仇-ㄑㄧㄡˊ 仇󠇡
仇-ㄔㄡˊ 仇
仈-na 仈󠇠
仈-ㄅㄚ 仈
仉-na 仉󠇠
