#   Comment section:
# 1 Fields are splitted by a tab
# 2 first field is the piece of phrase that you want to adjust the occurance
# 3 second field is the phrase you don't want to include when counting the
# 4 occurance of the first field.
一世	一世紀
一中	洪一中
一隊	統一隊
三世	三世紀
上人	心上人
上人	水上人家
上戰	上戰場
下人	底下人
下人	鄉下人
不中	不中意
世紀	創世紀
中世	中世紀
中人	劇中人
中人	台中人
中人	夢中人
中人	意中人
中人	眼中人
中人	箇中人
中人	鏡中人
中國	田中國中
中國	發展中國家
中國	開發中國家
中營	集中營
中美	中美洲
中部	國中部
中部	高中部
中點	集中點
丹佛	史丹佛
丹紅	蘇丹紅
主公	恩主公
主教	天主教
九世	九世紀
二世	第二世界
人中	及人中學
人心	令人心曠神怡
人心	動人心弦
人心	動人心魄
人心	扣人心弦
人心	沁人心脾
人氏	燧人氏
人物	招人物議
人道	行人道
人魚	食人魚
代工	現代工業
伏特	伏特加
位元	位元堂
作人	創作人
作人	著作人
作人	製作人
作工	操作工
作業	製作業
作物	著作物
作者	工作者
作者	運作者
作證	工作證
佳麗	佳麗寶
使者	主使者
使者	唆使者
來人	人來人往
來人	希伯來人
來人	後來人
來人	過來人
來人	馬來人
保人	承保人
信教	浸信教
備品	必備品
備品	戰備品
備品	軍備品
備車	警備車
光山	佛光山
克拉	克拉克
克拉	克拉拉
克拉	克拉蘇
克拉	塔克拉瑪干
克拉	安克拉治
克拉	希波克拉底
兒茶	女兒茶
內人	圈內人
內人	黨內人士
內應	內應力
全人	保全人員
全局	國家安全局
全島	安全島
全會	國家安全會議
全隊	味全隊
八世	八世紀
公報	大公報
公民	公民營
公費	辦公費
六世	六世紀
六甲	麻六甲
出量	滲出量
出量	輸出量
分之	七分之一
分之	三分之一
分之	三分之二
分之	九分之三
分之	二分之一
分之	五分之一
分之	五分之三
分之	五分之二
分之	五分之四
分之	億分之一
分之	八分之一
分之	八分之七
分之	八分之五
分之	六分之一
分之	十二分之十
分之	十分之一
分之	十分之七八
分之	十分之三
分之	十分之九
分之	十分之六
分之	十分之四
分之	十萬分之七十
分之	十萬分之十
分之	十萬分之四十
分之	千分之
分之	四分之一
分之	四分之三
分之	四分之二
分之	四分之四
分之	四十五分之六
分之	幾分之幾
分之	百分之一
分之	百分之七十五
分之	百分之九十九
分之	百分之九十五
分之	百分之九十幾
分之	百分之八十五
分之	百分之四十五
分之	百分之百
分之	萬分之一
分之	萬分之二
分之	萬分之五
分之	非分之想
分之	非分之財
利人	匈牙利人
利人	天時地利人和
利人	奧地利人
利人	智利人
利人	犀利人妻
利人	義大利人
利率	毛利率
利率	獲利率
利馬	利馬竇
制住	控制住
制住	限制住
制式	限制式
力士	勞力士
功率	成功率
功過	用功過度
加人	參加人
加加	加加林
加國	參加國
加大	南加大
努力	白努力
勞力	勞力士
北朝	北朝鮮
十世	十世紀
卡爾	笛卡爾
印度	印度尼西亞
原地	平原地
及人	埃及人
口水	漱口水
古人	蒙古人
古人	講古人
台中	建台中學
吉利	英吉利
吉普	吉普賽
吉爾	邱吉爾
后座	仙后座
品學	毒品學
四世	四世紀
國小	中國小姐
國風	中國風
地中	地中海
地利	奧地利
地力	抓地力
外人	中外人士
外人	出外人
大人	加拿大人
大力	維大力
大老	亞特蘭大老鷹
大馬	大馬士革
大馬	高頭大馬
夫人	斯拉夫人
威靈	威靈頓
子彈	中子彈
子彈	原子彈
子彈	核子彈
字型	數字型
安人	亞利安人
安人	公安人員
安人	印地安人
安人	印第安人
安人	治安人員
安人	西安人
安人	長安人
安東	安東尼
安東	長安東路
家學	皇家學會
家學	皇家學院
家母	親家母
家法	國家法
小馬	小馬哥
尼克	尼克森
尼斯	丹尼斯
尼斯	威尼斯
尼斯	米尼斯
山區	中山區
山區	文山區
山區	松山區
山區	鳳山區
山區	鼓山區
山區	龍山區
工科	美工科
工筆	美工筆
幾世	幾世紀
後人	幕後人物
性病	慢性病
性能	性能力
性行	性行為
性行	置入性行銷
拉丁	阿拉丁
拉威爾	德拉威爾
放馬	放馬後砲
文大	中文大學
文學	天文學
文學	孫文學說
文學	水文學
斯人	俄羅斯人
斯人	威尼斯人
晶片	液晶片
有人	所有人
有人	持有人
有種	有種人
木工	土木工程
本人	日本人
本社	日本社
本籍	日本籍
本隊	日本隊
樂器	遊樂器
樸學	拓樸學
比利	伊比利半島
比利	比利時
民主	三民主義
民主	殖民主義
民國	三民國中
民國	三民國小
民國	新民國小
民工	榮民工程
民法	移民法
民營	難民營
民生	國民生活須知
民生	國民生產
水師	泥水師
水師	風水師
水筆	水筆仔
水線	淡水線
水鄉	二水鄉
沙市	長沙市
治學	政治學
治家	政治家
治所	政治所
法利	法利賽
法器	乘法器
法學	文法學
法拉	法拉利
法拉	法拉第
法院	立法院
波爾	波爾多
洛伊	佛洛伊德
洛伊	特洛伊
活字	活字典
活性	靈活性
派人	正派人
海參	海參威
海參	海參崴
海灘	上海灘
海關	山海關
港人	北港人
灣區	台灣區
灣區	臺灣區
烏拉	烏拉圭
烏拉	烏拉山
烏拉	烏拉草
營區	左營區
牛皮	犀牛皮
物化	生物化學
物資	生物資訊
物質	礦物質
物體	植物體
物體	生物體
王國	王國維
理化	公理化
理化	合理化
理化	數理化
理學	管理學
理學	護理學
產界	房地產界
用力	作用力
用力	應用力學
白蘭	白蘭地
白質	蛋白質
科學	外科學
科學	專科學校
科學	工科學生
科學	文科學生
立方	聯立方程
